pencil,1002736624.9326,42408692624.3394,2024862369.0924,178877.0000,0.1243
pencil,8038410718.6622,33956197586.3878,5404793610.3201,64.0000,1.0000
pencil,-4549002350.4131,45725013784.6125,2781131355.9936,205419.5000,0.2286
paint,21314615079.9256,113477071763.6388,16657793118.6021,214.5000,1.0000
paint,-26962491197.4977,117181396448.6066,29326232076.9853,108.0000,1.0909
paint,775778184.5717,168318206107.1616,13010495403.5401,151.5000,1.1538
pin,-271703061.5473,16550519100.3654,2285664671.0175,154.5000,1.0769
pin,-49382000.1506,16379508602.0795,2096353137.3595,71504.0000,0.9848
pin,256547438.4054,17468073506.9458,2212576978.1691,170.5000,0.7059
steps,-2097877693.1360,23942497054.4277,4605487353.3115,207912.5000,0.6344
steps,-3148572359.8938,22051912065.4091,7234721069.0253,205559.5000,1.0028
steps,-288064469.0516,24650813511.0329,3840626317.5059,80.5000,1.0000
flower,-105506199.5302,16491971892.6207,4988652337.7059,109449.0000,1.7465
flower,-958197854.2295,19042293688.7816,2753373017.7718,110513.0000,0.6722
flower,1347214246.2391,18396160133.2013,3529642234.8060,107685.5000,0.9103
star,-396611183.7479,20172401090.1156,6093156799.8306,210111.0000,0.9571
star,132389173.5416,20275870765.4562,6368988048.6125,208466.5000,1.0406
star,-184149160.4725,23117074369.0419,6169219251.3536,1576.5000,0.9104
tree,937161334.9534,29054040541.9908,25282666599.6588,446633.0000,1.3401
tre,-4186133073.9974,38085013946.8225,17572756277.2990,457235.0000,0.8052
tree,-4190880265.7605,38073826842.1412,17569077518.2735,457107.0000,0.8041
tree,2762725734.9760,38830968413.2061,16290205448.5319,455138.0000,0.7803
key,-1577388985.1152,19310748527.7859,3084630239.0198,491.0000,0.8333
key,36341619.8050,16362649616.0303,6377482525.3615,122452.5000,2.1765
key,412007100.5613,19862279962.8873,2273593218.4342,117612.0000,0.4550
rect,-422044444.6466,91558978314.6016,11857610991.2714,1934.5000,2.2750
rect,20678564701.1096,81220585786.7245,18968130727.7926,562786.5000,0.6396
rect,-15443557582.2563,87126574916.3929,15634218976.1232,226.0000,1.4000
camera,5202892220.3495,169520020944.7625,58464344278.4627,1603.0000,2.4571
camera,12032044345.9299,170230892587.6451,57383924574.6157,290.0000,2.3846
camera,-5474438828.1625,161710617203.1860,60111786962.8187,299.0000,1.4118
