pencil,-1184276946.5010,36204937080.5530,2083271808.0846,507.0000,1.0370
pencil,3756782064.3748,32130960501.6601,2774544274.2646,138164.5000,0.2916
pencil,-7161654864.1462,36338447485.0790,4964500633.8033,192112.5000,0.4135
key,-475257155.5646,18531855981.9451,2381875972.0087,383.5000,0.6552
key,747205345.5604,19052957832.5533,2256797577.7112,97803.5000,0.4706
key,425116111.2780,17167420364.5651,4488149839.2797,95261.5000,2.0764
star,115703950.3329,18825398041.5536,4257422548.4255,166621.5000,0.9513
star,-110205200.1848,18974855771.1383,4605770324.6171,171761.5000,0.9574
star,94640565.1772,19330035372.9679,5053259668.2047,180396.0000,0.9563
paint,2174980817.3461,85358043669.6425,11415122988.1356,214.5000,0.5217
paint,-19220999416.2743,82481684986.1223,21847341091.7816,896.5000,0.8421
paint,2711499573.4047,86617773901.4626,11756313517.1068,64.0000,1.0000
steps,-288541150.1854,21337659865.1159,3207957727.8713,161089.0000,0.5760
steps,-2408435686.9193,20489484593.6100,5050534988.3247,174706.0000,0.8725
steps,2420490822.9826,19338484158.3566,6667353962.3032,176575.5000,1.2556
flower,983992751.2850,17393738141.0669,2859570350.9152,87292.5000,0.8480
flower,-787909559.2682,16597241390.4760,4004940523.0115,95851.0000,1.5040
flower,-851275006.8364,19669768485.1483,2262095822.2581,84010.0000,0.6210
rect,6406310515.8886,69591083392.6124,9694007522.6610,484028.0000,0.4743
rect,-8709020637.4289,66406647309.6423,10356749663.4453,476218.5000,0.5219
rect,19104682558.7476,58707059893.6986,18636833740.2967,475335.0000,0.7430
tree,-2964329681.4663,30078122675.4344,11888342685.9028,360110.0000,0.8135
tree,2594266842.5694,31274027304.0363,11718144157.4150,372346.0000,0.7869
tree,-164008331.8712,33679344082.2657,12028592973.2772,393114.5000,0.7588
pin,-45697554.2662,16222391425.5143,1905339151.2182,134.0000,1.7000
pin,-241863183.3728,16949734285.7855,2091247031.6793,67669.5000,0.9251
pin,778644664.0880,17843553266.1099,2316154223.6374,72.0000,0.9000
camera,533979118.9056,117186926414.3946,42173105573.1589,180.0000,0.5789
camera,16906515582.6313,115686778717.9629,40322656907.6540,123.0000,0.7857
camera,-7266103654.9071,108558165823.9087,44060291522.3554,120.0000,0.6667
